"Source:","E:\source\diyBMS-CurrentShunt\diyBMS-CurrentShunt\diyBMS-CurrentShunt.sch"
"Date:","27/07/2020 15:31:26"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","45"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSCExtendedPart","LCSCPart","MPN"
"","","R8","2K2","Device:R","Resistors_SMD:R_0603","~","NO","C4190","0603WAF2201T5E"
"","","R9","10K","Device:R","Resistors_SMD:R_0603","~","NO","C25804","0603WAF1002T5E"
"","","R10","2K2","Device:R","Resistors_SMD:R_0603","~","NO","C4190","0603WAF2201T5E"
"","","R11","110K","Device:R","Resistors_SMD:R_0603","~","NO","C25805","0603WAF1103T5E"
"","","R12","120R","Device:R","Resistors_SMD:R_0603","~","NO","C22787","0603WAF1200T5E"
"","","R13","33K","Device:R","Resistors_SMD:R_0603","~","NO","C4216","0603WAF3302T5E"
"","","R14","33K","Device:R","Resistors_SMD:R_0603","~","NO","C4216","0603WAF3302T5E"
"","","Rcl1","240K","Device:R","Resistors_SMD:R_0603","~","NO","C4197","0603WAF2403T5E"
"","","Ron1","330K","Device:R","Resistors_SMD:R_0603","~","NO","C23137","0603WAF3303T5E"
"","","SHUNT1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","LCSC parts:Terminal-Block_3.81_2P-LCSC_C395878","~","","C395878",""
"","","U1","LTC2944CDD-PBF","diyBMS-CurrentShunt-rescue:LTC2944CDD-PBF-LTC2944","Housings_DFN_QFN:DFN-8-1EP_3x3mm_Pitch0.5mm","~","YES","C683669","LTC2944CDD#PBF"
"","","U2","ATmega328-AU","MCU_Microchip_ATmega:ATmega328-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","YES","C14877","ATMEGA328P-AU"
"","","U3","LM5009MM","Regulator_Switching:LM5009MM","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","http://www.ti.com/lit/ds/symlink/lm5009.pdf","YES","C53606","LM5009MM/NOPB"
"","","U4","ADM2483BRWZ-REEL","diyBMS-CurrentShunt-rescue:ADM2483xRW-Interface_UART","Housings_SOIC:SOIC-16W_7.5x10.3mm_Pitch1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf","NO","C9637","ADM2483BRWZ-REEL"
"","","Y1","12Mhz","Device:Crystal_GND24_Small","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","https://datasheet.lcsc.com/szlcsc/Yangxing-Tech-X322512MSB4SI_C9002.pdf","NO","C9002","X322512MSB4SI"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSCExtendedPart","LCSCPart","MPN"
"1","2","BATT_NEG1, SHUNT1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","LCSC parts:Terminal-Block_3.81_2P-LCSC_C395878","https://datasheet.lcsc.com/szlcsc/1912111437_DIBO-DB125-3-81-2P-GN_C395878.pdf","","C395878","DB125-3.81-2P-GN"
"2","1","C1","1µF, 100V, X7R","Device:C","Capacitors_SMD:C_1206","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf","YES","C13832","CL31B105KCHNNNE"
"3","1","C2","0.1µF, 100V, X7R","Device:C","Capacitors_SMD:C_1206","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B104KCFNNNE_C1945.pdf","YES","C1945","CL31B104KCFNNNE"
"4","2","C3, C7","MLCC 22PF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10C220JB8NNNC_C1653.pdf","NO","C1653","CL10C220JB8NNNC"
"5","1","C4","MLCC 22UF 25V","Device:C","Capacitors_SMD:C_0805","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21A226MAQNNNE_C45783.pdf","NO","C45783","CL21A226MAQNNNE"
"6","9","C5, C8, C9, C10, C12, C13, C14, C15, C16","MLCC 100NF 16V","Device:C","Capacitors_SMD:C_0402","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","NO","C1525","CL05B104KO5NNNC"
"7","1","C6","MLCC 22NF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10B223KB8NNNC_C21122.pdf","NO","C21122","CL10B223KB8NNNC"
"8","1","C11","MLCC 2.2NF 50V","Device:C","Capacitors_SMD:C_0603","https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603B222K500NT_C1604.pdf","NO","C1604","0603B222K500NT"
"9","1","D1","100V 1A SCHOTTKY DIODES (SBD)","Device:D_ALT","Diodes_SMD:D_SOD-123F","https://datasheet.lcsc.com/szlcsc/2001131004_Shikues-DFLS1100_C475665.pdf","YES","C475665","DFLS1100"
"10","1","F1","Fuse 60V 0.1A hold","Device:Polyfuse","Fuse_Holders_and_Fuses:Fuse_SMD1206_HandSoldering","https://datasheet.lcsc.com/szlcsc/TECHFUSE-nSMD010_C70065.pdf","YES","C70065","nSMD010"
"11","1","J1","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","LCSC parts:Terminal-Block_3.81_4P_LCSC_C395880","~","","C395880",""
"12","1","J2","AVR-ISP-6","Connector:AVR-ISP-6","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm"," ~","","",""
"13","1","J3","Conn_01x12_Female","Connector:Conn_01x12_Female","Pin_Headers:Pin_Header_Straight_1x12_Pitch2.54mm","~","","",""
"14","1","L1","220uh","Device:L","Inductors_SMD:L_12x12mm_h8mm","https://datasheet.lcsc.com/szlcsc/Sunlord-SWRB1207S-221MT_C169380.pdf","YES","C169380","SWRB1207S-221MT"
"15","1","LED1","BLUE","Device:LED_ALT","LEDs:LED_0805","","NO","C2293","Blue"
"16","1","LED2","GREEN","Device:LED_ALT","LEDs:LED_0805","https://datasheet.lcsc.com/szlcsc/Hubei-KENTO-Elec-Green-0805-Iv-207-249-mcd-atIF-20mA_C2297.pdf","NO","C2297","Green"
"17","5","R1, R2, R7, R8, R10","2K2","Device:R","Resistors_SMD:R_0603","~","NO","C4190","0603WAF2201T5E"
"18","1","R5","2K4","Device:R","Resistors_SMD:R_0603","~","NO","C22940","0603WAF2401T5E"
"19","1","R6","7K5","Device:R","Resistors_SMD:R_0603","~","NO","C23234","0603WAF7501T5E"
"20","1","R9","10K","Device:R","Resistors_SMD:R_0603","~","NO","C25804","0603WAF1002T5E"
"21","1","R11","110K","Device:R","Resistors_SMD:R_0603","~","NO","C25805","0603WAF1103T5E"
"22","1","R12","120R","Device:R","Resistors_SMD:R_0603","~","NO","C22787","0603WAF1200T5E"
"23","2","R13, R14","33K","Device:R","Resistors_SMD:R_0603","~","NO","C4216","0603WAF3302T5E"
"24","1","Rcl1","240K","Device:R","Resistors_SMD:R_0603","~","NO","C4197","0603WAF2403T5E"
"25","1","Ron1","330K","Device:R","Resistors_SMD:R_0603","~","NO","C23137","0603WAF3303T5E"
"26","1","U1","LTC2944CDD-PBF","diyBMS-CurrentShunt-rescue:LTC2944CDD-PBF-LTC2944","Housings_DFN_QFN:DFN-8-1EP_3x3mm_Pitch0.5mm","~","YES","C683669","LTC2944CDD#PBF"
"27","1","U2","ATmega328-AU","MCU_Microchip_ATmega:ATmega328-AU","Housings_QFP:TQFP-32_7x7mm_Pitch0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","YES","C14877","ATMEGA328P-AU"
"28","1","U3","LM5009MM","Regulator_Switching:LM5009MM","Housings_SSOP:MSOP-8_3x3mm_Pitch0.65mm","http://www.ti.com/lit/ds/symlink/lm5009.pdf","YES","C53606","LM5009MM/NOPB"
"29","1","U4","ADM2483BRWZ-REEL","diyBMS-CurrentShunt-rescue:ADM2483xRW-Interface_UART","Housings_SOIC:SOIC-16W_7.5x10.3mm_Pitch1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf","NO","C9637","ADM2483BRWZ-REEL"
"30","1","Y1","12Mhz","Device:Crystal_GND24_Small","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","https://datasheet.lcsc.com/szlcsc/Yangxing-Tech-X322512MSB4SI_C9002.pdf","NO","C9002","X322512MSB4SI"
