"Source:","E:\source\diyBMS-CurrentShunt\CurrentShuntCircuit\CurrentShuntCircuit.sch"
"Date:","30/04/2021 10:03:40"
"Tool:","Eeschema (5.1.5)-3"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSCStockCode","PartNumber"
"","","R12","120R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17437","0805W8F1200T5E"
"","","R13","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17414","0805W8F1002T5E"
"","","R14","330R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17630","0805W8F3300T5E"
"","","R15","330R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17630","0805W8F3300T5E"
"","","R16","470R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17710","0805W8F4700T5E"
"","","SW1","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","https://datasheet.lcsc.com/szlcsc/2004251705_Korean-Hroparts-Elec-DS-02BP_C458081.pdf","C458081",""
"","","U1","TLP172GM","Relay_SolidState:ASSR-1218","Package_SO:SO-4_4.4x3.6mm_P2.54mm","https://datasheet.lcsc.com/szlcsc/TOSHIBA-TLP172GM-TPL-E-O_C261926.pdf","C261926","TLP172GM"
"","","U2","ATtiny1614-SS","MCU_Microchip_ATtiny:ATtiny1614-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny1614-data-sheet-40001995A.pdf","C481364","ATTINY1614-SSNR"
"","","U3","INA228","Analog_ADC:INA226","Package_SO:VSSOP-10_3x3mm_P0.5mm","https://www.ti.com/lit/ds/symlink/ina228.pdf","","INA228"
"","","U4","ADM2483xRW","Interface_UART:ADM2483xRW","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf","C9637","ADM2483BRWZ-REEL"
"","","U5","LM5009A","CurrentShuntLib:LM5009A","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.ti.com/lit/ds/symlink/lm5009a.pdf","C477978","LM5009AMMX/NOPB"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSCStockCode","PartNumber"
"1","3","C1, C2, C7","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C28323","CL21B105KBFNNNE"
"2","4","C3, C4, C12, C13","100nF","Device:C","Capacitor_SMD:C_0805_2012Metric","","C49678","CC0805KRX7R9BB104"
"3","1","C5","1uF 100V","Device:C","Capacitor_SMD:C_1206_3216Metric","https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL31B105KCHNNNE_C13832.pdf","C13832","CL31B105KCHNNNE"
"4","2","C6, C14","100nF 100V","Device:C","Capacitor_SMD:C_0805_2012Metric","https://datasheet.lcsc.com/szlcsc/2008131833_KEMET-C0805C104K1RECAUTO_C696367.pdf","C696367","C0805C104K1RECAUTO"
"5","2","C8, C9","10nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C1710","CL21B103KBANNNC"
"6","1","C10","3.3nF","Device:C","Capacitor_SMD:C_0805_2012Metric","~","C53175","CL21B332KBANNNC"
"7","1","C11","47µF ±10% 16V Ceramic X5R","Device:C","Capacitor_SMD:C_1210_3225Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM32ER61C476KE15-01.pdf","C77101","GRM32ER61C476KE15L"
"8","1","D1","400V 1A 1.3V @ 1A 150ns SMA","Device:D_Schottky","Diode_SMD:D_SMA","https://datasheet.lcsc.com/szlcsc/1810170425_Diodes-Incorporated-RS1G-13-F_C85103.pdf","C85103","RS1G-13-F"
"9","1","D2","GREEN","Device:LED","LED_SMD:LED_0805_2012Metric","~","C2297",""
"10","1","D3","RED","Device:LED","LED_SMD:LED_0805_2012Metric","~","C84256",""
"11","1","F1","Through Hole PTC","Device:Polyfuse","Fuse:Fuse_BelFuse_0ZRE0005FF_L8.3mm_W3.8mm","https://datasheet.lcsc.com/szlcsc/1912111437_Jinrui-Electronic-Materials-Co-JK250-120U_C369130.pdf","C2680606","JK250-100U"
"12","2","J1, J2","Connection","Connector:Conn_01x01_Female","TestPoint:TestPoint_THTPad_2.5x2.5mm_Drill1.2mm","~","",""
"13","1","J3","Debug/UPDI","Connector:Conn_01x08_Male","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~","",""
"14","2","J4, J5","Screw_Terminal_01x04","Connector:Screw_Terminal_01x04","CurrentShuntCircuit:Terminal-Block_3.81_4P_LCSC_C395880","~","C395880",""
"15","1","J6","ScrewTerminal","Connector:Screw_Terminal_01x02","CurrentShuntCircuit:Terminal-Block_3.81_2P-LCSC_C395878","https://datasheet.lcsc.com/szlcsc/1912111437_DIBO-DB125-3-81-2P-GN_C395878.pdf","C395878",""
"16","1","JP1","SolderJumper_2_Bridged","Jumper:SolderJumper_2_Bridged","Jumper:SolderJumper-2_P1.3mm_Bridged_Pad1.0x1.5mm","~","",""
"17","1","L1","1mH ±20% 250mA","Device:L","Inductor_SMD:L_TDK_SLF7045","","C91523","SLF7045T-102MR14-PF"
"18","2","R1, R2","10R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17415","0805W8F100JT5E"
"19","1","R3","680k","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17797","0805W8F6803T5E"
"20","1","R4","150k","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17470","0805W8F1503T5E"
"21","1","R5","470k","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17709","0805W8F4703T5E"
"22","2","R6, R7","10k","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17414","0805W8F1002T5E"
"23","3","R8, R14, R15","330R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17630","0805W8F3300T5E"
"24","2","R9, R10","2k2","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17520","0805W8F2201T5E"
"25","1","R11","100K","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17407","0805W8F1003T5E"
"26","1","R12","120R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17437","0805W8F1200T5E"
"27","1","R13","10K","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17414","0805W8F1002T5E"
"28","1","R16","470R","Device:R","Resistor_SMD:R_0805_2012Metric","~","C17710","0805W8F4700T5E"
"29","1","SW1","SW_DIP_x02","Switch:SW_DIP_x02","Button_Switch_THT:SW_DIP_SPSTx02_Slide_6.7x6.64mm_W7.62mm_P2.54mm_LowProfile","https://datasheet.lcsc.com/szlcsc/2004251705_Korean-Hroparts-Elec-DS-02BP_C458081.pdf","C458081",""
"30","1","U1","TLP172GM","Relay_SolidState:ASSR-1218","Package_SO:SO-4_4.4x3.6mm_P2.54mm","https://datasheet.lcsc.com/szlcsc/TOSHIBA-TLP172GM-TPL-E-O_C261926.pdf","C261926","TLP172GM"
"31","1","U2","ATtiny1614-SS","MCU_Microchip_ATtiny:ATtiny1614-SS","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATtiny1614-data-sheet-40001995A.pdf","C481364","ATTINY1614-SSNR"
"32","1","U3","INA228","Analog_ADC:INA226","Package_SO:VSSOP-10_3x3mm_P0.5mm","https://www.ti.com/lit/ds/symlink/ina228.pdf","","INA228"
"33","1","U4","ADM2483xRW","Interface_UART:ADM2483xRW","Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm","https://www.analog.com/media/en/technical-documentation/data-sheets/adm2483.pdf","C9637","ADM2483BRWZ-REEL"
"34","1","U5","LM5009A","CurrentShuntLib:LM5009A","Package_SO:MSOP-8_3x3mm_P0.65mm","https://www.ti.com/lit/ds/symlink/lm5009a.pdf","C477978","LM5009AMMX/NOPB"
